,Unnamed: 0,question,masked_question,masked_question_toks,query,schema_toks,tables,columns,sql_keywords,join_involved,keywords_pred,accuracy_on_target,accuracy_on_prediction
814,814,Find the full names of employees living in the city of Calgary.,Find the full [MASK] of [MASK] living in the [MASK] of [MASK],"['Find', 'the', 'full', '[MASK]', 'of', '[MASK]', 'living', 'in', 'the', '[MASK]', 'of', '[MASK]']","SELECT FirstName ,  LastName FROM EMPLOYEE WHERE City  =  ""Calgary""","['EMPLOYEE', 'LastName', 'FirstName', 'Calgary', 'City']","[('EMPLOYEE', '')]","['LastName', 'FirstName', 'Calgary', 'City']","select,from,where",False,"['as', 'join', 'where', 'distinct']",1.0,0.25
2684,2684,Show the host names for parties with number of hosts greater than 20.,Show the [MASK] [MASK] for [MASK] with [MASK] [MASK] [MASK] greater than 20.,"['Show', 'the', '[MASK]', '[MASK]', 'for', '[MASK]', 'with', '[MASK]', '[MASK]', '[MASK]', 'greater', 'than', '20.']",SELECT T2.Name FROM party_host AS T1 JOIN HOST AS T2 ON T1.Host_ID  =  T2.Host_ID JOIN party AS T3 ON T1.Party_ID  =  T3.Party_ID WHERE T3.Number_of_hosts  >  20,"['HOST', 'party_host', 'party', 'Name', 'Host_ID', 'Number_of_hosts', 'Party_ID']","[('HOST', 'T2'), ('party_host', 'T1'), ('party', 'T3')]","['Name', 'Host_ID', 'Number_of_hosts', 'Party_ID']","as,join,from,select,where",True,"['as', 'join', 'where']",1.0,1.0
4152,4152,"Show the studios that have not produced films with director ""Walter Hill"".",Show the [MASK] that have not produced [MASK] with [MASK] [MASK] [MASK],"['Show', 'the', '[MASK]', 'that', 'have', 'not', 'produced', '[MASK]', 'with', '[MASK]', '[MASK]', '[MASK]']","SELECT Studio FROM film EXCEPT SELECT Studio FROM film WHERE Director  =  ""Walter Hill""","['film', 'Walter Hill', 'Director', 'Studio']","[('film', '')]","['Walter Hill', 'Director', 'Studio']","select,except,from,where",False,['where'],0.5,1.0
2963,2963,Return the name of the category to which the film 'HUNGER ROOF' belongs.,Return the [MASK] of the [MASK] to which the [MASK] 'HUNGER ROOF' belongs.,"['Return', 'the', '[MASK]', 'of', 'the', '[MASK]', 'to', 'which', 'the', '[MASK]', ""'HUNGER"", ""ROOF'"", 'belongs.']",SELECT T1.name FROM category AS T1 JOIN film_category AS T2 ON T1.category_id  =  T2.category_id JOIN film AS T3 ON T2.film_id  =  T3.film_id WHERE T3.title  =  'HUNGER ROOF',"['film_category', 'category', 'film', 'category_id', 'film_id', 'title', 'name']","[('film_category', 'T2'), ('category', 'T1'), ('film', 'T3')]","['category_id', 'film_id', 'title', 'name']","as,join,from,select,where",True,"['join', 'as']",0.6666666666666666,1.0
4951,4951,How many different players trained for more than 1000 hours?,How many different [MASK] trained for more than 1000 [MASK],"['How', 'many', 'different', '[MASK]', 'trained', 'for', 'more', 'than', '1000', '[MASK]']",SELECT count(*) FROM Player WHERE HS  >  1000,"['Player', 'HS']","[('Player', '')]",['HS'],"select,count,from,where",False,"['count', 'where']",1.0,1.0
931,931,"Retrieve the open and close dates of all the policies associated with the customer whose name contains ""Diana""",Retrieve the [MASK] and [MASK] [MASK] of all the [MASK] associated with the [MASK] whose [MASK] contains [MASK],"['Retrieve', 'the', '[MASK]', 'and', '[MASK]', '[MASK]', 'of', 'all', 'the', '[MASK]', 'associated', 'with', 'the', '[MASK]', 'whose', '[MASK]', 'contains', '[MASK]']","SELECT t2.date_opened ,  t2.date_closed FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.customer_name LIKE ""%Diana%""","['customers_policies', 'customers', '%Diana%', 'customer_name', 'customer_id', 'date_opened', 'date_closed']","[('customers_policies', 't2'), ('customers', 't1')]","['%Diana%', 'customer_name', 'customer_id', 'date_opened', 'date_closed']","like,as,join,from,select,where",True,"['as', 'join', 'where']",0.75,1.0
7276,7276,Which shops' number products is above the average? Give me the shop names.,Which [MASK] [MASK] [MASK] is above the average? Give me the [MASK] [MASK],"['Which', '[MASK]', '[MASK]', '[MASK]', 'is', 'above', 'the', 'average?', 'Give', 'me', 'the', '[MASK]', '[MASK]']",SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),"['shop', 'number_products', 'name']","[('shop', '')]","['number_products', 'name']","select,avg,from,where",False,"['avg', 'where']",1.0,1.0
7545,7545,What are all the course names of the courses which ever have students enrolled in?,What are all the [MASK] [MASK] of the [MASK] which ever have [MASK] [MASK] in?,"['What', 'are', 'all', 'the', '[MASK]', '[MASK]', 'of', 'the', '[MASK]', 'which', 'ever', 'have', '[MASK]', '[MASK]', 'in?']",SELECT DISTINCT T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id,"['Student_Enrolment_Courses', 'Courses', 'course_id', 'course_name']","[('Student_Enrolment_Courses', 'T2'), ('Courses', 'T1')]","['course_id', 'course_name']","distinct,as,join,select,from",True,"['as', 'join', 'where']",0.6666666666666666,0.6666666666666666
6903,6903,"Find the dates of orders which belong to the customer named ""Jeramie"".",Find the [MASK] of [MASK] which belong to the [MASK] [MASK] [MASK],"['Find', 'the', '[MASK]', 'of', '[MASK]', 'which', 'belong', 'to', 'the', '[MASK]', '[MASK]', '[MASK]']","SELECT T2.date_order_placed FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.customer_name = ""Jeramie""","['orders', 'customers', 'customer_id', 'date_order_placed', 'Jeramie', 'customer_name']","[('orders', 'T2'), ('customers', 'T1')]","['customer_id', 'date_order_placed', 'Jeramie', 'customer_name']","as,join,from,select,where",True,['where'],0.3333333333333333,1.0
5574,5574,"Find the number of the products that have their color described as ""red"" and have a characteristic named ""slow"".","Find the number of the [MASK] that have their [MASK] [MASK] as ""red"" and have a [MASK] [MASK] [MASK]","['Find', 'the', 'number', 'of', 'the', '[MASK]', 'that', 'have', 'their', '[MASK]', '[MASK]', 'as', '""red""', 'and', 'have', 'a', '[MASK]', '[MASK]', '[MASK]']","SELECT count(*) FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id JOIN ref_colors AS t4 ON t1.color_code  =  t4.color_code WHERE t4.color_description  =  ""red"" AND t3.characteristic_name  =  ""slow""","['CHARACTERISTICS', 'products', 'product_characteristics', 'ref_colors', 'characteristic_name', 'red', 'slow', 'characteristic_id', 'color_code', 'product_id', 'color_description']","[('CHARACTERISTICS', 't3'), ('products', 't1'), ('product_characteristics', 't2'), ('ref_colors', 't4')]","['characteristic_name', 'red', 'slow', 'characteristic_id', 'color_code', 'product_id', 'color_description']","as,join,count,and,where,select,from",True,"['as', 'join', 'where', 'count']",0.8,1.0
7532,7532,What is the department description for the one whose name has the word computer?,What is the [MASK] [MASK] for the one whose [MASK] has the word computer?,"['What', 'is', 'the', '[MASK]', '[MASK]', 'for', 'the', 'one', 'whose', '[MASK]', 'has', 'the', 'word', 'computer?']",SELECT department_description FROM Departments WHERE department_name LIKE '%computer%',"['Departments', 'department_name', 'department_description']","[('Departments', '')]","['department_name', 'department_description']","select,like,from,where",False,"['like', 'where']",1.0,1.0
3990,3990,Find the names of patients who are not using the medication of Procrastin-X.,Find the [MASK] of [MASK] who are not using the [MASK] of Procrastin-X.,"['Find', 'the', '[MASK]', 'of', '[MASK]', 'who', 'are', 'not', 'using', 'the', '[MASK]', 'of', 'Procrastin-X.']",SELECT name FROM patient EXCEPT SELECT T1.name FROM patient AS T1 JOIN Prescribes AS T2 ON T2.Patient  =  T1.SSN JOIN Medication AS T3 ON T2.Medication  =  T3.Code WHERE T3.name  =  'Procrastin-X',"['Medication', 'Prescribes', 'patient', 'patient', 'Medication', 'name', 'Code', 'Patient', 'SSN']","[('Medication', 'T3'), ('Prescribes', 'T2'), ('patient', ''), ('patient', 'T1')]","['Medication', 'name', 'Code', 'Patient', 'SSN']","as,except,join,where,select,from",True,"['where', 'as', 'in', 'join', 'count', 'not']",0.75,0.5
2079,2079,find the event names that have more than 2 records.,find the [MASK] [MASK] that have more than 2 records.,"['find', 'the', '[MASK]', '[MASK]', 'that', 'have', 'more', 'than', '2', 'records.']",SELECT event_name FROM party_events GROUP BY event_name HAVING count(*)  >  2,"['party_events', 'event_name']","[('party_events', '')]",['event_name'],"group,count,having,select,from",False,"['group', 'count', 'having', 'as', 'join']",1.0,0.6
1602,1602,What is the invoice number and invoice date corresponding to the invoice with the greatest number of transactions?,What is the [MASK] [MASK] and [MASK] [MASK] corresponding to the [MASK] with the greatest [MASK] of [MASK],"['What', 'is', 'the', '[MASK]', '[MASK]', 'and', '[MASK]', '[MASK]', 'corresponding', 'to', 'the', '[MASK]', 'with', 'the', 'greatest', '[MASK]', 'of', '[MASK]']","SELECT T2.invoice_number ,  T2.invoice_date FROM Financial_transactions AS T1 JOIN Invoices AS T2 ON T1.invoice_number  =  T2.invoice_number GROUP BY T1.invoice_number ORDER BY count(*) DESC LIMIT 1","['Financial_transactions', 'Invoices', 'invoice_number', 'invoice_date']","[('Financial_transactions', 'T1'), ('Invoices', 'T2')]","['invoice_number', 'invoice_date']","as,group,join,limit,count,order,select,desc,from",True,"['limit', 'order', 'desc']",0.42857142857142855,1.0
2169,2169,"What is the id, forname and surname of the driver who had the first position in terms of laptime at least twice?","What is the id, [MASK] and [MASK] of the [MASK] who had the first [MASK] in terms of [MASK] at least twice?","['What', 'is', 'the', 'id,', '[MASK]', 'and', '[MASK]', 'of', 'the', '[MASK]', 'who', 'had', 'the', 'first', '[MASK]', 'in', 'terms', 'of', '[MASK]', 'at', 'least', 'twice?']","SELECT T1.driverid ,  T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE POSITION  =  '1' GROUP BY T1.driverid HAVING count(*)  >=  2","['laptimes', 'drivers', 'POSITION', 'driverid', 'forename', 'surname']","[('laptimes', 'T2'), ('drivers', 'T1')]","['POSITION', 'driverid', 'forename', 'surname']","as,group,join,from,count,having,select,where",True,"['as', 'group', 'join', 'count', 'having']",0.8333333333333334,1.0
742,742,"What are the different transaction types, and how many transactions of each have taken place?",What are the different [MASK] [MASK] and how many [MASK] of each have taken place?,"['What', 'are', 'the', 'different', '[MASK]', '[MASK]', 'and', 'how', 'many', '[MASK]', 'of', 'each', 'have', 'taken', 'place?']","SELECT transaction_type ,  count(*) FROM Financial_transactions GROUP BY transaction_type","['Financial_transactions', 'transaction_type']","[('Financial_transactions', '')]",['transaction_type'],"select,count,from,group",False,"['group', 'count']",1.0,1.0
6801,6801,Find the ids of the students who participate in Canoeing and Kayaking.,Find the [MASK] of the [MASK] who [MASK] [MASK] Canoeing and Kayaking.,"['Find', 'the', '[MASK]', 'of', 'the', '[MASK]', 'who', '[MASK]', '[MASK]', 'Canoeing', 'and', 'Kayaking.']",SELECT T1.stuid FROM participates_in AS T1 JOIN activity AS T2 ON T2.actid  =  T2.actid WHERE T2.activity_name  =  'Canoeing' INTERSECT SELECT T1.stuid FROM participates_in AS T1 JOIN activity AS T2 ON T2.actid  =  T2.actid WHERE T2.activity_name  =  'Kayaking',"['participates_in', 'activity', 'actid', 'activity_name', 'stuid']","[('participates_in', 'T1'), ('activity', 'T2')]","['actid', 'activity_name', 'stuid']","intersect,as,join,from,select,where",True,"['intersect', 'as', 'join', 'where']",1.0,1.0
2885,2885,"Which papers were written by authors from the institution ""Google""?",Which [MASK] were written by [MASK] from the [MASK] [MASK],"['Which', '[MASK]', 'were', 'written', 'by', '[MASK]', 'from', 'the', '[MASK]', '[MASK]']","SELECT DISTINCT t1.title FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Google""","['papers', 'inst', 'authorship', 'paperid', 'title', 'Google', 'name', 'instid']","[('papers', 't1'), ('inst', 't3'), ('authorship', 't2')]","['paperid', 'title', 'Google', 'name', 'instid']","distinct,as,join,where,select,from",True,"['as', 'join', 'where']",0.75,1.0
809,809,List the names of all music genres.,List the [MASK] of all music [MASK],"['List', 'the', '[MASK]', 'of', 'all', 'music', '[MASK]']",SELECT Name FROM GENRE,"['GENRE', 'Name']","[('GENRE', '')]",['Name'],"select,from",False,[],,
594,594,What is the full name of the employee who has the most customers?,What is the full [MASK] of the [MASK] who has the most [MASK],"['What', 'is', 'the', 'full', '[MASK]', 'of', 'the', '[MASK]', 'who', 'has', 'the', 'most', '[MASK]']","SELECT T1.first_name , T1.last_name FROM employees AS T1 JOIN customers AS T2 ON T1.id  =  T2.support_rep_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","['employees', 'customers', 'support_rep_id', 'first_name', 'last_name', 'id']","[('employees', 'T1'), ('customers', 'T2')]","['support_rep_id', 'first_name', 'last_name', 'id']","as,group,join,limit,count,order,select,desc,from",True,"['as', 'group', 'join', 'limit', 'count', 'order', 'desc']",1.0,1.0
1509,1509,"Find all the policy type codes associated with the customer ""Dayana Robel""",Find all the [MASK] [MASK] [MASK] associated with the [MASK] [MASK] [MASK],"['Find', 'all', 'the', '[MASK]', '[MASK]', '[MASK]', 'associated', 'with', 'the', '[MASK]', '[MASK]', '[MASK]']","SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""","['customers', 'policies', 'customer_id', 'Dayana Robel', 'policy_type_code', 'customer_details']","[('customers', 't2'), ('policies', 't1')]","['customer_id', 'Dayana Robel', 'policy_type_code', 'customer_details']","as,join,from,select,where",True,"['as', 'join', 'and', 'where']",1.0,0.75
4973,4973,Who are the players that have names containing the letter a?,Who are the [MASK] that have [MASK] containing the letter a?,"['Who', 'are', 'the', '[MASK]', 'that', 'have', '[MASK]', 'containing', 'the', 'letter', 'a?']",SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',"['Player', 'pName']","[('Player', '')]",['pName'],"distinct,like,where,select,from",False,"['like', 'where', 'as', 'join', 'count']",0.6666666666666666,0.4
380,380,What is the id and salary of the employee named Mark Young?,What is the [MASK] and [MASK] of the [MASK] [MASK] Mark Young?,"['What', 'is', 'the', '[MASK]', 'and', '[MASK]', 'of', 'the', '[MASK]', '[MASK]', 'Mark', 'Young?']","SELECT eid ,  salary FROM Employee WHERE name  =  'Mark Young'","['Employee', 'salary', 'name', 'eid']","[('Employee', '')]","['salary', 'name', 'eid']","select,from,where",False,"['where', 'as', 'join']",1.0,0.3333333333333333
5208,5208,"How many songs have used the instrument ""drums""?",How many songs have used the [MASK] [MASK],"['How', 'many', 'songs', 'have', 'used', 'the', '[MASK]', '[MASK]']","SELECT count(*) FROM instruments WHERE instrument  =  ""drums""","['instruments', 'instrument', 'drums']","[('instruments', '')]","['instrument', 'drums']","select,count,from,where",False,"['count', 'where']",1.0,1.0
1883,1883,What are the times of elimination for any instances in which the elimination was done by Punk or Orton?,What are the [MASK] of [MASK] for any instances in which the [MASK] was done [MASK] [MASK] or [MASK],"['What', 'are', 'the', '[MASK]', 'of', '[MASK]', 'for', 'any', 'instances', 'in', 'which', 'the', '[MASK]', 'was', 'done', '[MASK]', '[MASK]', 'or', '[MASK]']","SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton""","['elimination', 'Orton', 'Eliminated_By', 'Punk', 'TIME']","[('elimination', '')]","['Orton', 'Eliminated_By', 'Punk', 'TIME']","or,select,from,where",False,"['as', 'join', 'or', 'where']",1.0,0.5
3685,3685,In which year did the least people enter hall of fame?,In which [MASK] did the least people enter [MASK] [MASK] [MASK],"['In', 'which', '[MASK]', 'did', 'the', 'least', 'people', 'enter', '[MASK]', '[MASK]', '[MASK]']",SELECT yearid FROM hall_of_fame GROUP BY yearid ORDER BY count(*) ASC LIMIT 1;,"['hall_of_fame', 'yearid']","[('hall_of_fame', '')]",['yearid'],"asc,group,limit,count,order,select,from",False,"['group', 'limit', 'count', 'order']",0.8,1.0
2533,2533,Count the number of countries.,[MASK] the number of [MASK],"['[MASK]', 'the', 'number', 'of', '[MASK]']",SELECT count(*) FROM county_public_safety,['county_public_safety'],"[('county_public_safety', '')]",[],"select,count,from",False,['count'],1.0,1.0
1826,1826,How many main stream browsers whose market share is at least 5 exist?,How many main stream [MASK] whose [MASK] [MASK] is at least 5 exist?,"['How', 'many', 'main', 'stream', '[MASK]', 'whose', '[MASK]', '[MASK]', 'is', 'at', 'least', '5', 'exist?']",SELECT count(*) FROM browser WHERE market_share  >=  5,"['browser', 'market_share']","[('browser', '')]",['market_share'],"select,count,from,where",False,"['as', 'group', 'join', 'count', 'having']",0.5,0.2
4924,4924,Find the city with the most number of stores.,Find the [MASK] with the most number of [MASK],"['Find', 'the', '[MASK]', 'with', 'the', 'most', 'number', 'of', '[MASK]']",SELECT t3.headquartered_city FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id GROUP BY t3.headquartered_city ORDER BY count(*) DESC LIMIT 1,"['store_district', 'district', 'store', 'district_id', 'store_id', 'headquartered_city']","[('store_district', 't2'), ('district', 't3'), ('store', 't1')]","['district_id', 'store_id', 'headquartered_city']","as,group,join,limit,count,order,select,desc,from",True,"['group', 'limit', 'count', 'order', 'desc']",0.7142857142857143,1.0
1219,1219,"What are dates of birth of all the guests whose gender is ""Male""?",What are [MASK] [MASK] [MASK] [MASK] all the [MASK] whose [MASK] is [MASK],"['What', 'are', '[MASK]', '[MASK]', '[MASK]', '[MASK]', 'all', 'the', '[MASK]', 'whose', '[MASK]', 'is', '[MASK]']","SELECT date_of_birth FROM Guests WHERE gender_code  =  ""Male""","['Guests', 'gender_code', 'date_of_birth', 'Male']","[('Guests', '')]","['gender_code', 'date_of_birth', 'Male']","select,from,where",False,[],,
5084,5084,Show the locations shared by shops with open year later than 2012 and shops with open year before 2008.,Show the [MASK] shared by [MASK] with [MASK] [MASK] later than 2012 and [MASK] with [MASK] [MASK] before 2008.,"['Show', 'the', '[MASK]', 'shared', 'by', '[MASK]', 'with', '[MASK]', '[MASK]', 'later', 'than', '2012', 'and', '[MASK]', 'with', '[MASK]', '[MASK]', 'before', '2008.']",SELECT LOCATION FROM shop WHERE Open_Year  >  2012 INTERSECT SELECT LOCATION FROM shop WHERE Open_Year  <  2008,"['shop', 'LOCATION', 'Open_Year']","[('shop', '')]","['LOCATION', 'Open_Year']","intersect,select,from,where",False,"['intersect', 'where']",1.0,1.0
306,306,"Find the attribute data type for the attribute named ""Green"".",Find the [MASK] [MASK] [MASK] for the [MASK] [MASK] [MASK],"['Find', 'the', '[MASK]', '[MASK]', '[MASK]', 'for', 'the', '[MASK]', '[MASK]', '[MASK]']","SELECT attribute_data_type FROM Attribute_Definitions WHERE attribute_name  =  ""Green""","['Attribute_Definitions', 'attribute_data_type', 'attribute_name', 'Green']","[('Attribute_Definitions', '')]","['attribute_data_type', 'attribute_name', 'Green']","select,from,where",False,"['as', 'join', 'where']",1.0,0.3333333333333333
7145,7145,how many cars were produced in 1980?,how many [MASK] were produced in 1980?,"['how', 'many', '[MASK]', 'were', 'produced', 'in', '1980?']",SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,"['CARS_DATA', 'YEAR']","[('CARS_DATA', '')]",['YEAR'],"select,count,from,where",False,"['count', 'where']",1.0,1.0
2103,2103,What is the shipping agent code of shipping agent UPS?,What is the [MASK] [MASK] [MASK] of [MASK] [MASK] UPS?,"['What', 'is', 'the', '[MASK]', '[MASK]', '[MASK]', 'of', '[MASK]', '[MASK]', 'UPS?']","SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";","['Ref_Shipping_Agents', 'UPS', 'shipping_agent_code', 'shipping_agent_name']","[('Ref_Shipping_Agents', '')]","['UPS', 'shipping_agent_code', 'shipping_agent_name']","select,from,where",False,"['where', 'as', 'join']",1.0,0.3333333333333333
4602,4602,"What are the names of the chairs of festivals, sorted in ascending order of the year held?",What are the [MASK] of the [MASK] of [MASK] sorted in ascending order of the [MASK] held?,"['What', 'are', 'the', '[MASK]', 'of', 'the', '[MASK]', 'of', '[MASK]', 'sorted', 'in', 'ascending', 'order', 'of', 'the', '[MASK]', 'held?']",SELECT Chair_Name FROM festival_detail ORDER BY YEAR ASC,"['festival_detail', 'YEAR', 'Chair_Name']","[('festival_detail', '')]","['YEAR', 'Chair_Name']","select,asc,order,from",False,"['asc', 'order']",1.0,1.0
4576,4576,Which buildings do not have any company office? Give me the building names.,Which [MASK] do not have any company [MASK] Give me the [MASK] [MASK],"['Which', '[MASK]', 'do', 'not', 'have', 'any', 'company', '[MASK]', 'Give', 'me', 'the', '[MASK]', '[MASK]']",SELECT name FROM buildings WHERE id NOT IN (SELECT building_id FROM Office_locations),"['buildings', 'Office_locations', 'building_id', 'id', 'name']","[('buildings', ''), ('Office_locations', '')]","['building_id', 'id', 'name']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
4704,4704,"What are the names of courses that give either 3 credits, or 1 credit and 4 hours?",What are the [MASK] of [MASK] that give either 3 [MASK] or 1 [MASK] and 4 [MASK],"['What', 'are', 'the', '[MASK]', 'of', '[MASK]', 'that', 'give', 'either', '3', '[MASK]', 'or', '1', '[MASK]', 'and', '4', '[MASK]']",SELECT CName FROM COURSE WHERE Credits  =  3 UNION SELECT CName FROM COURSE WHERE Credits  =  1 AND Hours  =  4,"['COURSE', 'Credits', 'CName', 'Hours']","[('COURSE', '')]","['Credits', 'CName', 'Hours']","union,and,where,select,from",False,"['intersect', 'as', 'join', 'where']",0.3333333333333333,0.25
5506,5506,"For each election cycle, report the number of voting records.",For each [MASK] [MASK] report the number of [MASK] [MASK],"['For', 'each', '[MASK]', '[MASK]', 'report', 'the', 'number', 'of', '[MASK]', '[MASK]']","SELECT Election_Cycle ,  count(*) FROM VOTING_RECORD GROUP BY Election_Cycle","['VOTING_RECORD', 'Election_Cycle']","[('VOTING_RECORD', '')]",['Election_Cycle'],"select,count,from,group",False,"['group', 'count']",1.0,1.0
